user_score,publisher,rating,title,metascore,platform,genre,developer
6.3,Paradox Interactive,E10+,Surviving Mars,74,PS4,"Strategy,Management,Government",Haemimont Games
7.0,Toxic Games,T,Q.U.B.E. 2,77,PS4,"Sci-Fi,Action,Shooter,First-Person,Arcade",Toxic Games
6.8,Electronic Arts,E10+,Burnout Paradise Remastered,82,PS4,"Racing,Arcade,Automobile","Criterion Games, STELLAR ENTERTAINMENT SOFTWARE LTD"
3.2,Sony Interactive Entertainment,T,World of Warriors,62,PS4,"Action,General",Mind Candy
6.9,Koei Tecmo Games,M,Attack on Titan 2,75,PS4,"Action,General",Omega Force
6.4,THQ Nordic,T,Titan Quest,55,PS4,"Role-Playing,Action RPG",THQ Nordic
6.0,Bandai Namco Games,M,Assassin's Creed Rogue Remastered,71,PS4,"Action Adventure,Open-World",Ubisoft
7.2,Focus Home Interactive,M,The Council - Episode 1: The Mad Ones,75,PS4,"Adventure,General",Big Bad Wolf
7.5,Chubby Pixel,T,Suicide Guy,70,PS4,"Action Adventure,General",Chubby Pixel
7.7,Spearhead Games,T,Omensight,78,PS4,"Adventure,3D,First-Person",Spearhead Games
7.8,Capcom,T,Monster Hunter: World,90,PS4,"Role-Playing,Action RPG",Capcom
5.4,nDreams,E10+,Shooty Fruity,79,PS4,"Action,Shooter,Light Gun",nDreams
7.5,Crows Crows Crows,M,Accounting+,74,PS4,"Adventure,3D,First-Person",Crows Crows Crows
4.2,WZOGI,M,Little Red Lie,77,PS4,"Adventure,General",WZOGI
6.3,Warm Lamp Games,T,Beholder: Complete Edition,63,PS4,"Strategy,General",Warm Lamp Games
7.3,Five Star Games,,AO Tennis,44,PS4,"Sports,Individual,Tennis",Big Ant Studios
7.7,Square Enix,M,Life is Strange: Before the Storm - Episode 3: Hell is Empty,77,PS4,"Action Adventure,General",Deck Nine Games
6.2,Telltale Games,M,Batman: The Enemy Within - Episode 4: What Ails You,77,PS4,"Adventure,Point-and-Click",Telltale Games
5.1,PolyKnight Games,E,InnerSpace,69,PS4,"Simulation,Flight,Civilian",PolyKnight Games
7.3,Capcom,T,Street Fighter V: Arcade Edition,87,PS4,"Action,Fighting,2D",Capcom
6.2,Sony Interactive Entertainment,M,The Inpatient,59,PS4,"Action Adventure,Survival",SuperMassive Games
6.1,SQUADTeam,E,Kerbal Space Program: Enhanced Edition,64,PS4,"Simulation,Space,Combat",BlitWorks
7.3,Ubisoft,M,Assassin's Creed Origins: The Hidden Ones,73,PS4,"Action Adventure,Open-World",Ubisoft Montreal
7.3,Bandai Namco Games,T,Digimon Story Cyber Sleuth: Hacker's Memory,73,PS4,"Role-Playing,Japanese-Style",Media Vision
6.4,Matt Makes Games Inc.,E10+,Celeste,91,PS4,"Action,Platformer,2D",Matt Makes Games Inc.
6.2,Bifrost Entertainment,T,Iconoclasts,83,PS4,"Action Adventure,Open-World","Joakim Sandberg, Konjak"
8.0,Bandai Namco Games,T,Dragon Ball FighterZ,87,PS4,"Action,Fighting,2D",Arc System Works
7.3,Darkwind Media,M,Wulverblade,75,PS4,"Action,Beat-'Em-Up,2D",Darkwind Media
5.2,Fun Punch Games,T,Strikers Edge,68,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",Fun Punch Games
7.2,Square Enix,E10+,Lost Sphear,68,PS4,"Role-Playing,Japanese-Style",Tokyo RPG Factory
7.6,Zen Studios,T,Out of Ammo,47,PS4,"Action,Shooter,First-Person,Arcade",RocketWerkz
7.0,Kalypso,E,Railway Empire,79,PS4,"Simulation,Vehicle,Train",Gaming Minds Studios
